Exx_1,Eyy_1,Ezz_1,Exy_1,Eyz_1,Ezx_1,time,Exx_2,Eyy_2,Ezz_2,Exy_2,Eyz_2,Ezx_2,Exx_orig_1,Eyy_orig_1,Ezz_orig_1,Exy_orig_1,Eyz_orig_1,Ezx_orig_1,Exx_orig_2,Eyy_orig_2,Ezz_orig_2,Exy_orig_2,Eyz_orig_2,Ezx_orig_2,Exx_eng_1,Exx_eng_2,Eyy_eng_1,Eyy_eng_2,Ezz_eng_1,Ezz_eng_2,Exy_eng_1,Exy_eng_2,Eyz_eng_1,Eyz_eng_2,Ezx_eng_1,Ezx_eng_2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.936594273707139e-05,6.936594273707139e-05,0.0,4.787109168785032e-09,0.0,0.0,0.0498600818915301,4.7552840714625556e-05,4.7552840714625515e-05,0.0,-0.00011887821236893014,0.0,0.0,4.7871091688003795e-09,-4.7871091688003795e-09,0.0,6.936594273707139e-05,0.0,0.0,-7.132537165430461e-05,0.00016643105308355568,0.0,0.0,0.0,0.0,4.787109153525648e-09,-7.132282806043833e-05,-4.787109153525648e-09,0.0001664449034997073,0.0,0.0,6.936834860971075e-05,0.0,0.0,0.0,0.0,0.0
-0.00041517824079390867,0.00041517824079390867,0.0,1.7199926516072094e-07,0.0,0.0,0.09986140447879485,0.0002844944007482916,0.0002844944007482914,0.0,-0.0007112372640895625,0.0,0.0,1.7199926516078537e-07,-1.7199926516078537e-07,0.0,0.00041517824079390867,0.0,0.0,-0.00042674286334127095,0.000995731664837854,0.0,0.0,0.0,0.0,1.7199927992983532e-07,-0.00042665182155654513,-1.7199925039790287e-07,0.0009962275701946854,0.0,0.0,0.0004152644392085847,0.0,0.0,0.0,0.0,0.0
-0.000831907169396586,0.0008319071693965858,0.0,6.91205705942482e-07,0.0,0.0,0.1498589166072806,0.0005033298319400631,0.0005033298319400627,0.0,-0.0014908568561942904,0.0,0.0,6.912057059425851e-07,-6.912057059425851e-07,0.0,0.000831907169396586,0.0,0.0,-0.0009875270242542275,0.001994186688134353,0.0,0.0,0.0,0.0,6.912059449248886e-07,-0.0009870395799104204,-6.912054670848988e-07,0.0019961764008076255,0.0,0.0,0.0008322533001421384,0.0,0.0,0.0,0.0,0.0
-0.0012497606348837842,0.0012497606348837842,0.0,1.5605479319570526e-06,0.0,0.0,0.1999914158334183,0.0005673445953120268,0.0005673445953120259,0.0,-0.0024269928680848538,0.0,0.0,1.5605479319572663e-06,-1.5605479319572663e-06,0.0,0.0012497606348837842,0.0,0.0,-0.0018596482727728275,0.00299433746339688,0.0,0.0,0.0,0.0,1.5605491496817336e-06,-0.001857920198293117,-1.5605467142965068e-06,0.002998824969737468,0.0,0.0,0.0012505419111414895,0.0,0.0,0.0,0.0,0.0
-0.0016663943198378878,0.0016663943198378878,0.0,2.7750312284015837e-06,0.0,0.0,0.24997767447455024,0.0006114073539046073,0.0006114073539046063,0.0,-0.0033791684277728676,0.0,0.0,2.7750312284017633e-06,-2.7750312284017633e-06,0.0,0.0016663943198378878,0.0,0.0,-0.0027677610738682606,0.003990575781677474,0.0,0.0,0.0,0.0,2.7750350788391387e-06,-0.0027639343544830774,-2.775027377999173e-06,0.003998548731237506,0.0,0.0,0.0016677835264005125,0.0,0.0,0.0,0.0,0.0
-0.0020829863271715258,0.0020829863271715258,0.0,4.336514084356807e-06,0.0,0.0,0.299959071478753,0.0006451655537207597,0.0006451655537207584,0.0,-0.004340560294249316,0.0,0.0,4.3365140843572494e-06,-4.3365140843572494e-06,0.0,0.0020829863271715258,0.0,0.0,-0.003695394740528557,0.004985725847970075,0.0,0.0,0.0,0.0,4.336523486969668e-06,-0.0036885751723028104,-4.33650468167901e-06,0.004998175260272131,0.0,0.0,0.002085157250263814,0.0,0.0,0.0,0.0,0.0
-0.0024996135835011137,0.0024996135835011137,0.0,6.245279965186072e-06,0.0,0.0,0.3499448709613179,0.0006725355360036675,0.0006725355360036655,0.0,-0.0053074385634256345,0.0,0.0,6.245279965186407e-06,-6.245279965186407e-06,0.0,0.0024996135835011137,0.0,0.0,-0.004634903027421968,0.005979974099429301,0.0,0.0,0.0,0.0,6.245299466911547e-06,-0.004624178439923909,-6.245260463444424e-06,0.005997889838626147,0.0,0.0,0.002502740222121158,0.0,0.0,0.0,0.0,0.0
-0.002916193207820783,0.0029161932078207824,0.0,8.500937748790844e-06,0.0,0.0,0.39992516377849635,0.0006960365607040081,0.0006960365607040065,0.0,-0.006277088874692307,0.0,0.0,8.500937748790993e-06,-8.500937748790993e-06,0.0,0.002916193207820783,0.0,0.0,-0.0055810523139883,0.006973125435396315,0.0,0.0,0.0,0.0,8.500973881941931e-06,-0.005565507174380091,-8.500901615970946e-06,0.0069974942839814425,0.0,0.0,0.00292044943555525,0.0,0.0,0.0,0.0,0.0
-0.0033327380758033653,0.003332738075803365,0.0,1.1103458865548359e-05,0.0,0.0,0.4499015293571742,0.0007169711311748453,0.0007169711311748427,0.0,-0.0072482423477460405,0.0,0.0,1.1103458865548859e-05,-1.1103458865548859e-05,0.0,0.0033327380758033653,0.0,0.0,-0.006531271216571197,0.007965213478920884,0.0,0.0,0.0,0.0,1.1103520509259113e-05,-0.006509988823619639,-1.1103397222322897e-05,0.007997020184786319,0.0,0.0,0.003338297822021108,0.0,0.0,0.0,0.0,0.0
